reviewer_name,rating,title,body,date
Ana Ana,1,Amazon employees might be stealing the…,"Amazon employees might be stealing the products they are supposed to deliver because lately, I place orders on Amazon, and even though the person who is supposed to deliver the package says it has been delivered, I can’t find the package anywhere.",2026-04-09
Margaret,1,Well after numerous parcel delays and…,Well after numerous parcel delays and incorrect information I have decided not to order any further items. My recent orders should have arrived on the 4/4/26. I was then advised it would be by the 8/4/26 and it is now the 8/4/26. No parcel. It is difficult to get to speak to a person to resolve the issue.,2026-04-09
Sean Bennett,1,Left parcel at the wrong address…,"Left parcel at the wrong address luckily i noticed the picture and who house it was at, I  quickly gone there before anyone took them.",2026-04-08
Mary Lynn,4,Great shopping experience 👌,,2026-04-08
Teri F,1,Will not do business with them any longer.,Orders are  always late sometimes by up to a week.  Then you have to email and call.  It is very unpleasant.  Will not do business with them any longer.,2026-04-08
Mr Price,1,20+ years as an Amazon customer,"20+ years as an Amazon customer. Thousands spent. Never an issue… until now.In the last year:	•	A robot lawnmower arrived with a bag of sand in the box	•	A faulty vacuum returned under manufacturer advice	•	A £5 item marked as delivered that never arrivedAll genuine issues. All outside my control.Now I’m being warned my account isn’t compliant with their refund policy — with no real explanation, just automated responses.So let me get this straight…Items don’t arrive or arrive tampered with, I report it, and somehow I’m the problem?Loyalty clearly counts for very little.Disappointing doesn’t quite cover it.",2026-04-08
Kristina S,5,Fast Shipping,"I ordered a pillow from Amazon, and i didnt expect the product to look exactly like in the images + the delivery was very very fast, its my first time when i order something and the next day, it has been delivered. Amazing!",2026-04-08
lissalissakay,5,Amazon is easy to use and has everything you need,"I use amazon almost every week to order something for either myself.My pet or my family. It's always came.In perfect condition.The delivery time is we're usually 1 to 2 days. I can track my shipment, and they also update where my shipment is at?And if there's any delays. Amazon for me has been the best online store to purchase from.",2026-04-08
CSM,1,My account was hacked!,"My account was hacked and the e-mail and phone number were changed.  I have had this account for 20 years.  I called Amazon and they said they would get back with me in 24-48 hours.  That was over a week ago.  Tons of reviews like this on FB with no one helping them. I can go through my email and pull every order from my account, but they cannot find my account at all now?  I have paid for prime, countless movies, audibles, and have a bunch of CC on my account.  My son cannot access any of his games on his Kindle.  They need to fix this and help people ASAP. For a multi-BILLION dollar company to do nothing or help people with something like this is insane! I will be looking into to other options after this awful and unprofessional experience.",2026-04-08
Oliver Keenan,1,Do NOT give Amazon your money,"My boyfriend had a subscribe and save subscription for Monster. When we were having issues with money, we canceled it. Each month, we kept receiving the canceled Monster, so we would check, and sure enough what we canceled is back on his account. We went as far as canceling it with a live agent over the phone, and now he has another four cases. They're very poor excuses for scammers. It's obvious they're doing it to scam money out of you. Why else would an app have such poor quality control, unhelpful agents and care for their customers. Now, we're trying to return the Monster, like we've done ever time, because we can't be spending 40+ dollars on that stuff, we need it for rent. And they're denying us of the return. Every single time we got these drinks when we weren't supposed to, we got a refund. Now they're trying to pull some backwards shit on us saying that they have to be damaged or something in order for our money to be returned.  These people are complete imbeciles for thinking they could slip this past me and I would turn a blind eye, I am going to do everything in my power to go against Amazon and everything they own.",2026-04-08
Christoffer Skov,4,Wish the inventory for UK would be the…,Wish the inventory for UK would be the same as for US customers,2026-04-08
Mr & Mrs Mcdonald,1,For the sake of your sanity.,"I made the mistake of ordering a tumble dryer from Amazon. As I'm getting on in years I also ordered their ""Unpack and Haul Away"" service whereby Amazon deliver the tumble dryer to the appropriate room, unpack it a'd haul away the packaging And the old tumble dryer for recycling.I place my orders on 26/3/26 and it was delivered two days later. Unfortunately the delivery team said they knew nothing about hauling anything anywhere and promptly left.Since then I have telephoned Amazon almost every day, each and every time the agent promises the haulage team will contact me in 24 hours and each time nobody calls or emails or even texts me. Each time I call it's met with profusely apologies and bewilderment as to how they keep failing to honour their contract. The last time was yesterday when I spoke to a young lady who promised this time would be different as she would personally monitor the situation until I received my call. Still nothing.I have lost all faith in Amazon, I could have ordered the same items with three other companies but opted for Amazon as I trusted them and have been a loyal customer for many years.I will never make that mistake again.I hope Amazon read this, because their internal communications are clearly pitiful. It's not a case of the left hand not knowing what the right hand is doing, the left hand doesn't even know it has a right hand.",2026-04-08
Abdo Ashraf,4,Standard quality,"Standard quality, always consistent and the app is easy to use.",2026-04-08
Kianni OGarro,3,Sometimes maybe good sometimes maybe sh,My relationship with Amazon is love hate. Constantly will come in handy when I need something urgently but then the delivery service will let them down.The drivers will sometimes not show up or just throw the parcel in the front garden just getting wet in the rain. Unfortunaley I will probably still continue to use them.,2026-04-08
Sebastian,1,This has to be one of the worst…,"This has to be one of the worst companies ever made, you tell me Jeff bezos a millionaire or whatever the hell cant fix his own company Prime and Amazon prime with thier shitty ass log in/sign in and I have to put my life details on it just so I can watch one season for one month and always giving me a ""theres been a temporary issue creating your account, please try again in 15 minutes"" you guys suck, might ass take down the app and website.",2026-04-08
Tony S,2,Items being sold on Amazon seem to be providing less value,"I have been a loyal Amazon customer for years and purchase not only small ticket items, but large ticket items like gas engines.  It seems that I am returning 10-20% of my purchases because they either don't work, the item is not what was described, etc.    My satisfaction keeps moving downward as time goes on based on the crap that's being sold.   My advice for anyone:  Check your reviews of the sellers!!!!Yes their return systems are 5 star!!   That's not the point.",2026-04-08
Erik Mikkonen,5,Ordered a kitchen gadget last week and…,Ordered a kitchen gadget last week and it arrived in two days. Does exactly what it's supposed to do and the price is fair compared to other sites. Worth buying again.,2026-04-08
Jeffrey Wilson,5,For Good and Great Amazon is the way to go,"Wow, I guess my experience with Amazon is different than most users. I will list the good and the great. I honestly can't think of one bad experience with this company.The Good:*Fair market value prices*Excellent logistical communications*Excellent return policyThe Great:*Respectful, helpful, and intelligent drivers who can put your items where you ask.*Awesome selection and quality third-party vendors who deliver.In my experience, I have not had any bad purchase experiences with Amazon. Keep up the good work.",2026-04-07
Gary Patterson,1,Missing item zero help from Amazon,Missing item. Went missing in transit. Cannot get a refund. Customer service bounced me between 8 different associates then eventually cut the chat off completely. No further forward.,2026-04-07
Travis Adamiec,1,They lie about delivery options to trick you into buying prime,"Listing showed next day delivery if I had prime, then when I logged into my prime membership the option was gone. Won’t be using Amazon again, always a bad experience.",2026-04-07
cigdem dinc,1,I am writing to express my extreme…,"I am writing to express my extreme frustration regarding the persistent and aggressive behavior of your delivery drivers.My doorbell is being rung repeatedly and relentlessly at all hours of the day for orders that do not belong to me. It is not my responsibility to act as a private concierge or security guard for your customers.If a package is not addressed to my residence, your drivers must stop knocking on my door. I strongly suggest you instruct your staff to use their phones to contact the actual customers directly instead of relying on ""primitive"" methods of communication that disturb the entire neighborhood.Please take immediate action to ensure this behavior stops. I expect my privacy to be respected moving forward.",2026-04-07
Cuts,1,Terrible Costumer Service,This is regarding order # 111-1994061-1842662.Amazon placed the wrong adress ( left the floor and appartment number off ) and two of my items were lost for some days. I contacted them regarding this and they refused to compensate me. They even tryied to say it was i who wrote the adress wrong when its impossible because you have to select the adress you have on your account and the adress was correct. The items eventually appeared on my building door without notice or even knowing where they were. Terrible costumer service. Avoid.,2026-04-07
mohamed hamada,1,Honestly,"Honestly, my experience with Amazon was extremely disappointing. I ordered a product that arrived late, and to make matters worse, it was in poor condition and didn't match the description. When I contacted customer service, the responses were slow, there was no clear solution, and I was transferred to a different person each time without any resolution. I felt there was a disregard for the customer's problem and a lack of genuine interest in resolving it. The return policy is complicated and takes an incredibly long time, which wasted my time and effort. The whole experience was exhausting and unsatisfactory, and I didn't expect this from a company of this size. Unfortunately, I won't be buying from them again.",2026-04-07
Andrec Romero,1,My experience with Amazon was…,"My experience with Amazon was unfortunately very bad and disappointing. I ordered a product that arrived late, and on top of that, there was a clear quality defect. I tried contacting customer service, but the response was slow and unclear. Every time, I was promised a solution soon, but nothing actually happened. I waited for several days without the problem being resolved or my money being refunded quickly. What bothered me even more was the lack of transparency. Every time, I received the same responses without any real results. I expected better service from such a large company, but what I experienced was the complete opposite. Honestly, the experience has made me lose all trust in them, and I don't intend to buy from them again anytime soon.",2026-04-07
Joe Mark,1,1 star,"1 star. I’ve been trying to get a refund for over a month.The product was inaccurately described by the seller “Live Laugh Ride,” which is why I returned it. The seller’s page has since been removed.Amazon customer service has been misleading the entire time—telling me my claim was filed, approved, and that I would receive a refund. I was even sent an email confirming it. None of it was true.Every time I call, they say there’s no record and they can’t issue a refund.Unacceptable experience. No accountability.",2026-04-07
Donny,1,Amazon is a terrible organization,trying to return an item is almost impossible !!!  tried several ways to get a QR code sent to me. There online system no response Had to call there phone number and get past an AI idiot computer to get helpthere is ZERO CUSTOMER SERVICE AT AMAZON -I would give it a negative 10 if I could,2026-04-07
Geoff Morton,5,Amazon has always got what you need …,Amazon has always got what you need  and the delivery/return is second to none,2026-04-07
Ahmed Melki,1,"Counterfeit item received, no replacement, poor customer service","I ordered a Samsung 9100 PRO 8TB SSD from Amazon and received a product that did not match the official product in the listing. The drive had physical differences and did not work.When I contacted Amazon customer service, the process was extremely frustrating. I was transferred from one agent to another, had to repeat the same explanation several times, and despite clearly reporting that the product was counterfeit / not as described, Amazon refused to replace it or issue a return label because the return window had expired.For an expensive electronic component, this is unacceptable. Buyers should inspect these products as soon as they arrive and not assume authenticity just because they were purchased through Amazon.",2026-04-07
Cliona Mcgrogan,1,Pending Know Your Customer (KYC)…,Pending Know Your Customer (KYC) account verification!!! What is this bullshit? I have added all of these forms which I think is a data protection breach in any case and Amazon still won't activate my account. Dispicable!,2026-04-07
Salli Solow,1,No Help with Hacked AMAZON Account,"My Amazon Prime Account was hacked. I have notified Amazon via customer service (twice) and sent email.  Customer Service promised I would receive a call from the FRAUD DEPARTMENT ….. that has never happened. On November 3, 2025, I paid &140 for year’s membership.  When account was hacked my Amazon Prime was made inactive and they cancelled Audible account too!!!!!!",2026-04-07
Kim Manning,1,Delayed deliveries,"Many times recently I have made purchases from Amazon specifically for the date of delivery. I am a PRIME subscriber. Many times I have had the initial delivery date changed by Amazon. When people buy items from Amazon and specifically need it by a certain date and then they buy it on Amazon website because it says it will be delivered by a certain date and get nothing more than ""SORRY FOR THE DELAY"" , it is time to start buying elswhere.",2026-04-07
Mecheleen Borgonah,1,Amazon Is Straight-Up Stealing From Customers,"I am absolutely furious with Amazon’s service and how they treat their customers.I ordered a suit, and the order status showed “delivered” — except I NEVER received it. I also never shared the OTP with anyone, which is required for delivery. So clearly, something went wrong on their end.When I first contacted customer service, they assured me I would get a refund. But after waiting 2–3 days and receiving nothing, I reached out again — only to be told that after their “investigation,” the item was marked as successfully delivered.I explained repeatedly that I never gave the OTP and never received the package, but they simply didn’t care. Every single time I contacted them — even speaking to a supervisor — I got the same robotic response: “The product was delivered.” No accountability, no proper investigation, nothing.This is completely unacceptable. If a customer hasn’t shared an OTP, how can you claim the delivery was valid?Amazon has basically taken my money and refused to fix their mistake.DO NOT ORDER FROM AMAZON. They don’t protect their customers and clearly don’t care when things go wrong. This feels nothing short of being scammed.",2026-04-07
